[INFO] 2022-06-18 06:55:16 | POST rr: UC {lea_kalmar} 
[INFO] 2022-06-18 06:55:16 | SS-RU {lea_kalmar} 
[INFO] 2022-06-18 06:55:17 | UC {lea_kalmar} 
[INFO] 2022-06-18 06:55:17 | SS-RU {lea_kalmar} 
[INFO] 2022-06-18 06:55:17 | SS-RU {lea_kalmar} 
[INFO] 2022-06-18 06:55:29 | SS-RU {lea_kalmar} 
[INFO] 2022-06-18 06:55:29 | SS-RU {lea_kalmar} 
[INFO] 2022-06-18 06:55:33 | SS-RU {lea_kalmar} 
[INFO] 2022-06-18 06:56:21 | PUT rr: UU {lea_kalmar} 
[INFO] 2022-06-18 06:57:46 | PUT rr: UU {lea_kalmar} 
[INFO] 2022-06-18 07:08:09 | POST rr: UC {lea} 
[INFO] 2022-06-18 07:08:09 | SS-RU {lea} 
[INFO] 2022-06-18 07:08:09 | UC {lea} 
[INFO] 2022-06-18 07:08:09 | SS-RU {lea} 
[INFO] 2022-06-18 07:08:10 | SS-RU {lea} 
[INFO] 2022-06-18 07:08:15 | SS-RU {lea} 
[INFO] 2022-06-18 07:08:15 | SS-RU {lea} 
[INFO] 2022-06-18 07:08:17 | SS-RU {lea} 
[INFO] 2022-06-18 07:13:38 | POST rr: UC {lea_kalmar} 
[INFO] 2022-06-18 07:13:38 | SS-RU {lea_kalmar} 
[INFO] 2022-06-18 07:13:38 | UC {lea_kalmar} 
[INFO] 2022-06-18 07:13:38 | SS-RU {lea_kalmar} 
[INFO] 2022-06-18 07:13:38 | SS-RU {lea_kalmar} 
[INFO] 2022-06-18 07:13:42 | SS-RU {lea_kalmar} 
[INFO] 2022-06-18 07:13:43 | SS-RU {lea_kalmar} 
[INFO] 2022-06-18 07:13:44 | SS-RU {lea_kalmar} 
