[ERROR] 2022-06-18 06:48:31 | IC 
[ERROR] 2022-06-18 06:48:34 | IC 
[ERROR] 2022-06-18 06:48:36 | IC 
[ERROR] 2022-06-18 06:48:38 | IC 
[ERROR] 2022-06-18 06:51:06 | IC 
[ERROR] 2022-06-18 06:51:08 | IC 
[ERROR] 2022-06-18 06:51:13 | IC 
[ERROR] 2022-06-18 06:51:19 | IC 
[ERROR] 2022-06-18 06:51:34 | IC 
[ERROR] 2022-06-18 07:06:14 | IC 
[ERROR] 2022-06-18 07:06:23 | IC 
[ERROR] 2022-06-18 07:06:28 | IC 
[ERROR] 2022-06-18 07:12:44 | IC 
[ERROR] 2022-06-18 07:12:50 | IC 
[ERROR] 2022-06-18 07:12:56 | IC 
