[ERROR] 2022-06-18 06:48:31 | IC 
[ERROR] 2022-06-18 06:48:34 | IC 
[ERROR] 2022-06-18 06:48:37 | IC 
[ERROR] 2022-06-18 06:48:39 | IC 
[ERROR] 2022-06-18 06:51:04 | IC 
[ERROR] 2022-06-18 06:51:08 | IC 
[ERROR] 2022-06-18 06:51:11 | IC 
[ERROR] 2022-06-18 06:51:17 | IC 
[ERROR] 2022-06-18 06:51:32 | IC 
[ERROR] 2022-06-18 06:51:38 | IC 
[ERROR] 2022-06-18 07:06:20 | IC 
[ERROR] 2022-06-18 07:06:24 | IC 
[ERROR] 2022-06-18 07:12:44 | IC 
[ERROR] 2022-06-18 07:12:51 | IC 
[ERROR] 2022-06-18 07:12:56 | IC 
