[INFO] 2022-06-18 06:48:34 | FOSC 
[INFO] 2022-06-18 06:48:34 | SC 
[INFO] 2022-06-18 06:48:34 | IC 
[INFO] 2022-06-18 06:48:35 | DC 
[INFO] 2022-06-18 06:51:06 | FOSC 
[INFO] 2022-06-18 06:51:07 | SC 
[INFO] 2022-06-18 06:51:07 | IC 
[INFO] 2022-06-18 06:51:07 | DC 
[INFO] 2022-06-18 06:55:17 | CUD {11e67289-bfa6-4c54-bcb3-5518e4497ffc} 
[INFO] 2022-06-18 07:06:21 | FOSC 
[INFO] 2022-06-18 07:06:23 | SC 
[INFO] 2022-06-18 07:06:23 | IC 
[INFO] 2022-06-18 07:06:24 | DC 
[INFO] 2022-06-18 07:08:10 | CUD {be955718-f547-417e-bee0-c12b3edc3d12} 
[INFO] 2022-06-18 07:12:49 | FOSC 
[INFO] 2022-06-18 07:12:50 | SC 
[INFO] 2022-06-18 07:12:51 | IC 
[INFO] 2022-06-18 07:12:52 | DC 
[INFO] 2022-06-18 07:13:38 | CUD {4df658f1-aaf9-4ed1-9c88-e54f20a458b3} 
