id,name,version,type,issuesCritical,issuesHigh,issuesMedium,issuesLow,dependenciesWithIssues,licenses,projects,license urls,latestVersion,latestVersionPublishedDate,firstPublishedDate,isDeprecated,copyright
github.com/golang/protobuf/ptypes@1.5.2,github.com/golang/protobuf/ptypes,1.5.2,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/connection_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod, github.com/dislinkt/api_gateway:go.mod",,,,,,[]
github.com/golang/protobuf/ptypes/any@1.5.2,github.com/golang/protobuf/ptypes/any,1.5.2,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/connection_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod, github.com/dislinkt/api_gateway:go.mod",,,,,,[]
github.com/golang/protobuf/ptypes/duration@1.5.2,github.com/golang/protobuf/ptypes/duration,1.5.2,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/connection_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod, github.com/dislinkt/api_gateway:go.mod",,,,,,[]
github.com/golang/protobuf/ptypes/timestamp@1.5.2,github.com/golang/protobuf/ptypes/timestamp,1.5.2,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/connection_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod, github.com/dislinkt/api_gateway:go.mod",,,,,,[]
github.com/golang/snappy@0.0.1,github.com/golang/snappy,0.0.1,golang,0,0,0,0,,BSD-3-Clause,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause,,,,,[]
github.com/go-playground/locales@0.14.0,github.com/go-playground/locales,0.14.0,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/go-playground/locales/currency@0.14.0,github.com/go-playground/locales/currency,0.14.0,golang,0,0,0,0,,,"github.com/dislinkt/auth_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod",,,,,,[]
github.com/go-playground/universal-translator@0.18.0,github.com/go-playground/universal-translator,0.18.0,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/go-playground/validator/v10@10.11.0,github.com/go-playground/validator/v10,10.11.0,golang,0,0,0,0,,MIT,"github.com/dislinkt/auth_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
github.com/gorilla/handlers@1.5.1,github.com/gorilla/handlers,1.5.1,golang,0,0,0,0,,BSD-2-Clause,github.com/dislinkt/api_gateway:go.mod,https://app.snyk.io/vuln/snyk:lic:BSD-2-Clause,,,,,[]
github.com/go-stack/stack@1.8.0,github.com/go-stack/stack,1.8.0,golang,0,0,0,0,,MIT,"post_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:MIT,,,,,[]
